std_name, geo_id, percent_unemployment, crime, median_income, appears, pr_id 
Rogers Park,1,9.1,120,36114,18,"['39', '160', '218', '275', '296', '313', '345', '378', '416', '541', '662', '720', '777', '798', '815', '847', '880', '918']",
West Ridge,2,9.2,139,53301,4,"['309', '313', '811', '815']",
Uptown,3,8,155,47651,8,"['9', '105', '275', '334', '511', '607', '777', '836']",
Lincoln Square,4,6,69,70525,4,"['221', '338', '723', '840']",
North Center,5,4,37,98246,4,"['142', '250', '644', '752']",
Lakeview,6,3.3,126,95573,0,"[]",
Lincoln Park,7,3.5,78,98427,6,"['108', '179', '257', '610', '681', '759']",
Near North Side,8,5.1,154,85239,20,"['58', '133', '140', '221', '242', '265', '275', '319', '336', '358', '560', '635', '642', '723', '744', '767', '777', '821', '838', '860']",
Edison Park,9,4.1,1,85450,0,"[]",
Norwood Park,10,6,14,72531,0,"[]",
Jefferson Park,11,7.4,17,66792,0,"[]",
Forest Glen,12,5.1,15,108520,8,"['93', '94', '128', '221', '595', '596', '630', '723']",
North Park,13,7.7,43,71411,10,"['9', '160', '197', '296', '429', '511', '662', '699', '798', '931']",
Albany Park,14,7.9,125,54254,8,"['26', '142', '261', '389', '528', '644', '763', '891']",
Portage Park,15,7.6,97,59571,0,"[]",
Irving Park,16,6,123,61553,4,"['142', '309', '644', '811']",
Dunning,17,5.6,43,60627,0,"[]",
Montclare,18,4.8,17,119758,2,"['199', '701']",
Belmont Cragin,19,11,213,55474,4,"['275', '304', '777', '806']",
Hermosa,20,7.9,87,62666,4,"['27', '345', '529', '847']",
Avondale,21,6.4,94,60737,2,"['142', '644']",
Logan Square,22,5.2,212,72278,6,"['108', '221', '275', '610', '723', '777']",
Humboldt Park,23,12,555,46772,24,"['42', '101', '144', '172', '233', '241', '257', '266', '269', '275', '306', '370', '544', '603', '646', '674', '735', '743', '759', '768', '771', '777', '808', '872']",
West Town,24,5.5,420,78218,10,"['27', '133', '242', '338', '358', '529', '635', '744', '840', '860']",
Austin,25,16.8,1323,48249,28,"['9', '27', '101', '163', '178', '188', '190', '241', '251', '261', '269', '275', '368', '370', '511', '529', '603', '665', '680', '690', '692', '743', '753', '763', '771', '777', '870', '872']",
West Garfield Park,26,18.8,444,23534,14,"['133', '191', '242', '251', '270', '273', '275', '635', '693', '744', '753', '772', '775', '777']",
East Garfield Park,27,6.6,439,59703,10,"['9', '103', '218', '243', '262', '511', '605', '720', '745', '764']",
