pr_id, title, body, date_published
0,Chicago Department of Public Health Reminds Residents to Take Precautions During Cold Weather,The Chicago Department of Public Health continues to urge residents to heed safety tips to avoid weather and health emergencies during the extreme cold temperatures expected to last into the week ahead. Anyone seeking access to warming centers and/or experiencing insufficient heat are being encouraged to contact 3-1-1 for immediate assistance. "As the City braces for cold temperatures and winter weather| we would like to caution residents to take care of themselves| and to also provide assistance to your neighbors| family members| pets and friends| particularly those who are elderly or have disabilities|” said CDPH Commissioner Julie Morita| M.D. “By working together we can make sure we all stay warm| safe and healthy this season.” CDPH recommends residents following these simple steps to stay safe:,December 29| 2017
1,Chicago Planning to Build on 2017's Progress in the New Year,From academics and public safety to neighborhood infrastructure and economic growth| the men and women who work for the City of Chicago achieved real results for the city’s residents in 2017. With the calendar set to turn on Monday| the City is already working to build on 2017’s the gains in 2018.,December 29| 2017
2,Statement from Mayor Emanuel on County Legal Action Against Drug Manufacturers,“I commend Cook County| and counties across the area| for taking legal action to hold drug companies accountable for fueling the opioid epidemic. When Chicago led the charge against pharmaceutical companies for misleading marketing three years ago| our fight was a lonely one. Today| as we increase investments in education| prevention and treatment to address this epidemic for every community in Chicago| we are encouraged that other cities| counties and states have joined the legal fight to hold drug companies responsible for their knowingly deceptive| disingenuous practices.”,December 27| 2017
3,City Crackdown on Outlaw Party Bus Operators Results in 125 Tickets| 28 Cease and Desist Orders,As Chicago prepares to celebrate the New Year| a new City ordinance allowing regulators and Chicago police to crack down on illegal party buses while increasing safety requirements for licensed operators is showing promising results – and helping reduce crime. Since June 1| when the city implemented the new rules under an ordinance championed by Mayor Rahm Emanuel| regulators have issued 125 tickets and 28 cease and desist orders to noncompliant operators. Police have also made 11 illegal weapons and narcotics arrests under the new rules. At the same time| gun violence and drug crimes related to party buses have dropped throughout the city – making for a safer city and an improved consumer experience.  “The ordinance we passed this summer is showing progress|” said Mayor Rahm Emanuel. “The party is over for illegal party bus operators| and the parties are safer for people using licensed operators. I'm proud of the progress we have made to protect residents and visitors| and looking forward to building on our efforts in 2018." The strengthened rules| passed by the City Council this spring| helps improve safety by requiring party bus licensees to provide each passenger with a summary of acts prohibited on buses| which include unlawful possession of a firearm or controlled substance| security guard if alcohol is present or if the vehicle makes multiple stops. Additionally| the new ordinance requires clearly identifiable signage on licensed large charter/sightseeing vehicles to ensure any buses operating without a license are easy to identify and shut down. The City has imposed nearly $80|000 in penalties to operators found in violation of the party bus ordinance. “As we head to the New Year’s Eve holiday| we want to remind consumers that this tool is there to help ensure their safety as they are celebrating|” said Police Superintendent Eddie Johnson. “If a party bus is part of your plan for this weekend| make sure you are dealing with a licensed operator before you book a charter bus or limo.” While Chicago’s new rules have set clear standards for party bus operators in Chicago| a gap still remains for those operating outside the city. In fact| of the 28 cease and desist orders issued to noncompliant vehicles| 18 have yet to comply and are located in the suburbs. To build on the progress made under Chicago’s stricter rules| in 2018 the city will seek new state licensing legislation to better address illegal party bus operators traveling into the City from the suburbs. “Our city ordinance has been a net win for public safety in Chicago|” said BACP commissioner Rosa Escareno. “We are going to take the next step through state legislation to ensure no matter where a party bus company locates their fleet| if they do business in Chicago they had better be serious about ensuring the safety of our communities and the safety of their patrons.” The City will seek several regulatory improvements through state legislation including requiring a state online-registration that helps identify which buses have been properly licensed by the State and passed the required safety inspection| and requiring better State vehicle identification that can be used by City officials.,December 27| 2017
4,City Officials Offer Chicagoans Tips| Resources During Cold Snap,Officials from the Office of Emergency Management and Communications (OEMC)| Department of Family and Support Services (DFSS)| Chicago Department of Health (CDPH) and other City departments and sister agencies today reminded residents about City-offered services during the winter months and provided residents with tips to avoid weather and health emergencies during cold and extreme weather. Those seeking access to warming centers and/or experiencing insufficient heat are encouraged to contact 3-1-1 for immediate assistance. "Bitter cold temperatures are more than an inconvenience| they pose a serious threat to health and safety|" said OEMC Executive Director Alicia Tate-Nadeau. "As always| we encourage residents to take the necessary precautions to keep safe| including dressing appropriately for the weather and driving according to conditions." According to Accuweather| below normal temperatures are expected for the next few days. Today will be dry and very cold with wind chills between -10 and 0 degrees; Tuesday night will be frigid with wind chills as low as -15 degrees. Wednesday will also be dry and very cold| with wind chills as low as 0 degrees. The City will continue to monitor conditions to prepare for and respond to extreme weather as early as possible.,December 26| 2017
5,Mayor Emanuel| Chicago Department of Public Health Announce New Efforts to Protect Southeast Side Residents from Air Pollution,Mayor Rahm Emanuel and the Chicago Department of Public Health (CDPH) today announced new efforts to protect Southeast Side communities from air pollution created by industrial facilities. CDPH is continuing its regulatory actions with two major bulk material handling facilities| S.H. Bell Company and Watco Transloading| to ensure strict control and monitoring measures so that manganese dust does not leave their facilities and affect the health of nearby residential neighborhoods.,December 26| 2017
6,Mayor Emanuel Announces 10 Additional Cities Sign the Chicago Climate Charter,Mayor Emanuel announced today that ten additional cities have signed the Chicago Climate Charter| a first-of-its-kind international charter on climate change. The Chicago Climate Charter now represents 67 cities and tens of millions of people in cities across the world.,December 26| 2017
7,Mayor Emanuel Announces Innovative Program to Provide Rapid Support for Residents Who Are Homeless,Mayor Rahm Emanuel today announced the Flexible Housing Subsidy Pool (FHSP)| a one-of-a-kind supportive housing rental subsidy model that combines both housing/rental subsidy expertise and intensive case management to effectively house residents who are experiencing homelessness. “This innovative program will give the City of Chicago and our partners the tools needed to quickly provide support for Chicagoans who need it most|” Mayor Emanuel said. “We as a city cannot thrive until each and every one of our residents can thrive| which is why we are committed to addressing homelessness in a holistic| comprehensive and compassionate manner.”  The FHSP establishes a rental subsidy source that allows the City of Chicago to quickly house and provide supportive services to some of Chicago’s most challenging and costly homeless populations| including individuals who are high utilizers of emergency rooms and the criminal justice system. “Our hope with this initiative is to secure quality| safe and affordable housing for extremely vulnerable Chicagoans| through a more streamlined process|” Lisa Morrison Butler| Commissioner of the Department of Family and Support Services said. “We are thrilled to partner with the Corporation for Supportive Housing and so many City agencies to connect those experiencing homelessness with housing and the supportive services they need to thrive.”  The program brings together an unprecedented partnership that includes the Chicago Housing Authority (CHA)| the Chicago Department of Family and Support Services (DFSS)| the Chicago Department of Public Health (CDPH)| the Chicago Department of Planning and Development (DPD) and the Corporation for Supportive Housing. Currently| no one governmental entity in Chicago provides a combined housing and supportive service model nor manages a third party that provides both housing/rental subsidy expertise and intensive case management. The FHSP will provide the City and its partners with the ability to quickly house and provide supportive services to challenging homeless populations| by:,December 24| 2017
8,Mayor Emanuel Interviews Professor Eric Posner on the Logan Act,This week on the Chicago Stories Podcast Mayor Emanuel sat down with Professor Eric Posner to look behind the headlines of the Robert Mueller investigation and explore its legal dimensions and possible outcomes. Eric Posner is the Kirkland & Ellis Distinguished Law Professor at the University of Chicago. He’s the author of numerous books and countless articles focusing on constitutional and international law. He’s also been an outspoken commentator on President Trump's administration. At the forefront of the discussion was the Logan Act| the 1799 law that forbids private citizens from “freelancing” foreign policy| an issue which Eric recently wrote about in The New York Times (“Why the Trump Team Should Fear the Logan Act”). Listen to the latest “Chicago Stories” episode on Apple Podcasts| Spotify and Soundcloud. You can subscribe to the series on http://bit.ly/ChiStories. ,December 24| 2017
9,Chicago Delivers Nearly 2.5 Million City Services in 2017,Chicago| December 22| 2017 –Chicago provided nearly 2.5 million service requests to residents across the City this year with resources ranging from tree trimming| to replacing garbage carts| to graffiti removal and more.  “Chicago remains committed to delivering city services in the most efficient| cost effective manner possible. These are the fundamental building blocks needed to maintain strong| healthy communities. And these are the resources we’ll continue providing our residents in 2018|” said Mayor Rahm Emanuel.  Using a “blitz” model| crews from the Chicago Department of Streets and Sanitation (DSS) and the Chicago Department of Transportation (CDOT) were also able to provided additional resources to 17 communities most in need of services this year. “By focusing on one neighborhood each week| city service agencies were able to more efficiently fulfill service requests from residents and address issues like graffiti| rodent control and potholes on a larger scale|” said Acting Commissioner John Tully. Neighborhood blitz locations included Burnside| Brighton Park| Auburn Gresham| North Lawndale| Austin| Chinatown| Roseland| South Chicago| Fernwood| Uptown| Ashburn| Hollywood Park| Budlong Woods| East Garfield Park| and Englewood. The neighborhood were selected based on the number and severity of pending requests| as well as input from residents and community organizations.  “Making sure the sidewalks and roads are safe| well lit| and clearly marked improves the quality of life in every neighborhood|” said Rebekah Scheinfeld| Commissioner of CDOT. “During blitzes our crews on site work directly with community groups and residents in specific neighborhoods to help ensure that we direct available resources to the community’s priorities.” Through these targeted blitzes alone crews were able to:,December 22| 2017
