Rogers Park,West Ridge,Uptown,Lincoln Square,North Center,Lakeview,Lincoln Park,Near North Side,Edison Park,Norwood Park,Jefferson Park,Forest Glen,North Park,Albany Park,Portage Park,Irving Park,Dunning,Montclare,Belmont Cragin,Hermosa,Avondale,Logan Square,Humboldt Park,West Town,Austin,West Garfield Park,East Garfield Park,Near West Side,North Lawndale,South Lawndale,Lower West Side,Loop,Near South Side,Armour Square,Douglas,Oakland,Fuller Park,Grand Boulevard,Kenwood,Washington Park,Hyde Park,Woodlawn,South Shore,Chatham,Avalon Park,South Chicago,Burnside,Calumet Heights,Roseland,Pullman,South Deering,East Side,West Pullman,Riverdale,Hegewisch,Garfield Ridge,Archer Heights,Brighton Park,McKinley Park,Bridgeport,New City,West Elsdon,Gage Park,Clearing,West Lawn,Chicago Lawn,West Englewood,Englewood,Greater Grand Crossing,Ashburn,Auburn Gresham,Beverly,Washington Heights,Mount Greenwood,Morgan Park,O'Hare,Edgewater
18,4,8,4,4,0,6,20,0,0,0,8,10,8,0,4,0,2,4,4,2,6,24,10,28,14,10,16,24,16,12,36,8,10,2,4,0,22,4,10,12,10,6,14,0,18,2,0,6,18,2,0,6,0,0,0,0,4,2,0,6,0,8,2,2,4,6,42,0,2,6,8,0,0,2,10,0
120,139,155,69,37,126,78,154,1,14,17,15,43,125,97,123,43,17,213,87,94,212,555,420,1323,444,439,331,612,368,178,107,47,57,123,30,63,232,79,185,63,226,461,360,86,230,21,86,491,50,103,41,271,67,8,59,46,211,50,73,487,55,173,16,97,324,589,474,483,157,560,19,232,9,86,5,70
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
Rogers Park,West Ridge,Uptown,Lincoln Square,North Center,Lakeview,Lincoln Park,Near North Side,Edison Park,Norwood Park,Jefferson Park,Forest Glen,North Park,Albany Park,Portage Park,Irving Park,Dunning,Montclare,Belmont Cragin,Hermosa,Avondale,Logan Square,Humboldt Park,West Town,Austin,West Garfield Park,East Garfield Park,Near West Side,North Lawndale,South Lawndale,Lower West Side,Loop,Near South Side,Armour Square,Douglas,Oakland,Fuller Park,Grand Boulevard,Kenwood,Washington Park,Hyde Park,Woodlawn,South Shore,Chatham,Avalon Park,South Chicago,Burnside,Calumet Heights,Roseland,Pullman,South Deering,East Side,West Pullman,Riverdale,Hegewisch,Garfield Ridge,Archer Heights,Brighton Park,McKinley Park,Bridgeport,New City,West Elsdon,Gage Park,Clearing,West Lawn,Chicago Lawn,West Englewood,Englewood,Greater Grand Crossing,Ashburn,Auburn Gresham,Beverly,Washington Heights,Mount Greenwood,Morgan Park,O'Hare,Edgewater
36114,53301,47651,70525,98246,95573,98427,85239,85450,72531,66792,108520,71411,54254,59571,61553,60627,119758,55474,62666,60737,72278,46772,78218,48249,23534,59703,71115,61000,45932,59936,107985,77718,45680,49096,"63,630","60,475","35,906","46,826","48,500","53,643","41,400","33,240","40,573","63,970","40,368","23,684","46,581","44,362","36,777","44,388","44,079","37,272","14,415","61,772","65,725","47,138","39,887","58,154","55,840","34,921","49,829","41,701","60,373","50,884","39,275","32,445","41,703","40,440","67,063","29,285","93,037","46,848","91,209","62,190","58,360","47,466"
"['Rogers Park', 'East Rogers Park', 'Loyola']","['West Ridge', 'West Rogers Park', 'Peterson Park', 'Arcadia Terrace']","['Uptown', 'Buena Park', 'Argyle Street', 'Margate Park', 'Sheridan Park']","['Lincoln Square', 'Ravenswood', 'Ravenswood Gardens', 'Rockwell Crossing']","['North Center', 'Horner Park', 'Roscoe Village']","['Lakeview', 'Boystown', 'Lake View East', 'Graceland West', 'South East Ravenswood', 'Wrigleyville']","['Lincoln Park', 'Old Town Triangle', 'Park West', 'Ranch Triangle', 'Sheffield Neighbors', 'Wrightwood Neighbors']","['Near North Side', 'Cabrini–Green', 'The Gold Coast', 'Goose Island', 'Magnificent Mile', 'Old Town', 'River North', 'River West', 'Streeterville']","['Edison Park', 'edison park']","['Norwood Park', 'Big Oaks', 'Old Norwood Park', 'Oriole Park', 'Union Ridge']","['Jefferson Park', 'Gladstone Park']","['Forest Glen', 'Edgebrook', 'Old Edgebrook', 'South Edgebrook', 'Sauganash', 'Wildwood']","['North Park', 'Brynford Park', 'Hollywood Park', ""River's Edge"", 'Sauganash Woods']","['Albany Park', 'Mayfair', 'North Mayfair', 'Ravenswood Manor']","['Portage Park', 'Belmont Central', 'Władysławowo', 'Wladyslawowo', 'Six Corners']","['Irving Park', 'Avondale Gardens', 'Independence Park', 'Kilbourn Park', 'Little Cassubia', 'Old Irving Park', 'West Walker', 'The Villa']","['Dunning', 'Belmont Heights', 'Belmont Terrace', 'Irving Woods', 'Schorsch Village']",['Montclare'],"['Belmont Cragin', 'Belmont Central', 'Hanson Park', 'Brickyard']","['Hermosa', 'Kelvyn Park']","['Avondale', ""Chicago's Polish Village"", 'Kosciuszko Park']","['Logan Square', 'Bucktown', 'Palmer Square', 'Kosciuszko Park']",['Humboldt Park'],"['West Town', 'East Village', 'Noble Square', 'Polish Downtown', 'Pulaski Park', 'Smith Park', 'Ukrainian Village', 'Wicker Park']","['Austin', 'Galewood', 'The Island']",['West Garfield Park'],['East Garfield Park'],"['Near West Side', 'Greektown', 'Little Italy', 'Tri-Taylor']","['North Lawndale', 'Lawndale', 'Homan Square', 'Douglas Park']","['South Lawndale', 'Little Village']","['Lower West Side', 'Heart of Chicago', 'Heart of Italy', 'Pilsen', 'East Pilsen']","['Loop', 'Near East Side', 'South Loop', 'West Loop Gate']","['Near South Side', 'Dearborn Park', ""Printer's Row"", 'South Loop', 'Prairie Avenue Historic District']","['Armour Square', 'Chinatown', 'Bridgeport', 'Wentworth Gardens']","['Douglas', 'Groveland Park', 'Lake Meadows', 'the Gap', 'The Gap', 'Prairie Shores', 'South Commons']",['Oakland'],['Fuller Park'],"['Grand Boulevard', 'Bronzeville']","['Kenwood', 'South Kenwood']",['Washington Park'],"['Hyde Park', 'East Hyde Park']","['Woodlawn', 'West Woodlawn']","['South Shore', 'Jackson Park Highlands']","['Chatham', 'East Chatham', 'West Chatham', 'West Chesterfield']","['Avalon Park', 'Marynook', 'Stony Island Park']","['South Chicago', 'The Bush']",['Burnside'],"['Calumet Heights', 'Pill Hill']","['Roseland', 'Fernwood', 'Rosemoor']","['Pullman', 'Cottage Grove Heights', 'London Towne']","['South Deering', 'Jeffrey Manor', 'Trumbull Park']",['East Side'],['West Pullman'],"['Riverdale', 'Altgeld Gardens', 'Eden Green', 'Golden Gate']",['Hegewisch'],"['Garfield Ridge', 'LeClaire Courts', 'Sleepy Hollow', 'Vittum Park']",['Archer Heights'],['Brighton Park'],['McKinley Park'],['Bridgeport'],"['New City', 'Back of the Yards', 'Canaryville']",['West Elsdon'],['Gage Park'],"['Clearing', 'Chrysler Village']","['West Lawn', 'Ford City']","['Chicago Lawn', 'Lithuanian Plaza', 'Marquette Park']",['West Englewood'],['Englewood'],['Greater Grand Crossing'],"['Ashburn', 'Beverly View', 'Mary Crest', 'Parkview', 'Scottsdale', 'Wrightwood']",['Auburn Gresham'],['Beverly'],"['Washington Heights', 'Brainerd', 'Longwood Manor', 'Princeton Park']","['Mount Greenwood', 'Mount Greenwood Heights', ""Talley's Corner""]","['Morgan Park', 'Beverly Woods', 'Kennedy Park', 'West Morgan Park']","[""O'Hare"", 'Schorsch Forest View']","['Edgewater', 'Andersonville', 'Edgewater Glen', 'Edgewater Beach', 'Magnolia Glen', 'Lakewood', 'Balmoral']"
9.1,9.2,8,6,4,3.3,3.5,5.1,4.1,6,7.4,5.1,7.7,7.9,7.6,6,5.6,4.8,11,7.9,6.4,5.2,12,5.5,16.8,18.8,6.6,6.4,8,8.6,7.4,5.3,3.9,10.2,10.6,8.7,7.3,8.2,12.9,16.9,5.3,13.3,19,15.8,15.5,19.7,18.4,14.4,24,20.3,20,18.3,22.8,36.9,6.3,8.7,9.9,11.8,7.4,8.2,16.6,12.5,12.7,10.1,13.4,19.9,29.6,22.5,16.5,12.8,23.6,6.6,18.6,4.4,10.4,7.8,6.9
"['39', '160', '218', '275', '296', '313', '345', '378', '416', '541', '662', '720', '777', '798', '815', '847', '880', '918']","['309', '313', '811', '815']","['9', '105', '275', '334', '511', '607', '777', '836']","['221', '338', '723', '840']","['142', '250', '644', '752']",[],"['108', '179', '257', '610', '681', '759']","['58', '133', '140', '221', '242', '265', '275', '319', '336', '358', '560', '635', '642', '723', '744', '767', '777', '821', '838', '860']",[],[],[],"['93', '94', '128', '221', '595', '596', '630', '723']","['9', '160', '197', '296', '429', '511', '662', '699', '798', '931']","['26', '142', '261', '389', '528', '644', '763', '891']",[],"['142', '309', '644', '811']",[],"['199', '701']","['275', '304', '777', '806']","['27', '345', '529', '847']","['142', '644']","['108', '221', '275', '610', '723', '777']","['42', '101', '144', '172', '233', '241', '257', '266', '269', '275', '306', '370', '544', '603', '646', '674', '735', '743', '759', '768', '771', '777', '808', '872']","['27', '133', '242', '338', '358', '529', '635', '744', '840', '860']","['9', '27', '101', '163', '178', '188', '190', '241', '251', '261', '269', '275', '368', '370', '511', '529', '603', '665', '680', '690', '692', '743', '753', '763', '771', '777', '870', '872']","['133', '191', '242', '251', '270', '273', '275', '635', '693', '744', '753', '772', '775', '777']","['9', '103', '218', '243', '262', '511', '605', '720', '745', '764']","['133', '242', '275', '298', '309', '358', '390', '484', '635', '744', '777', '800', '811', '860', '892', '986']","['9', '81', '101', '144', '190', '199', '231', '251', '275', '281', '297', '306', '511', '583', '603', '646', '692', '701', '733', '753', '777', '783', '799', '808']","['71', '93', '94', '128', '241', '261', '281', '331', '573', '595', '596', '630', '743', '763', '783', '833']","['71', '221', '257', '275', '298', '330', '573', '723', '759', '777', '800', '832']","['93', '94', '108', '126', '128', '145', '148', '149', '187', '221', '262', '265', '310', '315', '352', '369', '430', '489', '595', '596', '610', '628', '630', '647', '650', '651', '689', '723', '764', '767', '812', '817', '854', '871', '932', '991']","['93', '94', '128', '221', '595', '596', '630', '723']","['9', '162', '169', '314', '377', '511', '664', '671', '816', '879']","['231', '733']","['178', '368', '680', '870']",[],"['15', '101', '145', '267', '269', '275', '312', '314', '323', '355', '491', '517', '603', '647', '769', '771', '777', '814', '816', '825', '857', '993']","['220', '275', '722', '777']","['184', '257', '275', '398', '496', '686', '759', '777', '900', '998']","['162', '170', '171', '257', '275', '365', '664', '672', '673', '759', '777', '867']","['79', '275', '355', '365', '367', '581', '777', '857', '867', '869']","['101', '269', '275', '603', '771', '777']","['54', '81', '101', '144', '249', '269', '306', '556', '583', '603', '646', '751', '771', '808']",[],"['9', '58', '159', '238', '244', '251', '261', '275', '313', '511', '560', '661', '740', '746', '753', '763', '777', '815']","['9', '511']",[],"['9', '275', '299', '511', '777', '801']","['101', '218', '221', '261', '269', '299', '314', '338', '343', '603', '720', '723', '763', '771', '801', '816', '840', '845']","['378', '880']",[],"['261', '269', '343', '763', '771', '845']",[],[],[],[],"['9', '275', '511', '777']","['241', '743']",[],"['101', '251', '261', '603', '753', '763']",[],"['156', '236', '239', '275', '658', '738', '741', '777']","['296', '798']","['241', '743']","['92', '275', '594', '777']","['251', '261', '370', '753', '763', '872']","['9', '27', '101', '109', '133', '145', '156', '172', '242', '251', '261', '269', '275', '319', '323', '334', '355', '358', '370', '440', '477', '511', '529', '603', '611', '635', '647', '658', '674', '744', '753', '763', '771', '777', '821', '825', '836', '857', '860', '872', '942', '979']",[],"['9', '511']","['9', '249', '275', '511', '751', '777']","['162', '170', '257', '345', '664', '672', '759', '847']",[],[],"['121', '623']","['36', '131', '146', '209', '476', '538', '633', '648', '711', '978']",[]
Rogers Park,West Ridge,Uptown,Lincoln Square,North Center,Lakeview,Lincoln Park,Near North Side,Edison Park,Norwood Park,Jefferson Park,Forest Glen,North Park,Albany Park,Portage Park,Irving Park,Dunning,Montclare,Belmont Cragin,Hermosa,Avondale,Logan Square,Humboldt Park,West Town,Austin,West Garfield Park,East Garfield Park,Near West Side,North Lawndale,South Lawndale,Lower West Side,Loop,Near South Side,Armour Square,Douglas,Oakland,Fuller Park,Grand Boulevard,Kenwood,Washington Park,Hyde Park,Woodlawn,South Shore,Chatham,Avalon Park,South Chicago,Burnside,Calumet Heights,Roseland,Pullman,South Deering,East Side,West Pullman,Riverdale,Hegewisch,Garfield Ridge,Archer Heights,Brighton Park,McKinley Park,Bridgeport,New City,West Elsdon,Gage Park,Clearing,West Lawn,Chicago Lawn,West Englewood,Englewood,Greater Grand Crossing,Ashburn,Auburn Gresham,Beverly,Washington Heights,Mount Greenwood,Morgan Park,O'Hare,Edgewater
