Rogers Park,1,36114
West Ridge,2,53301
Uptown,3,47651
Lincoln Square,4,70525
North Center,5,98246
Lakeview,6,95573
Lincoln Park,7,98427
Near North Side,8,85239
Edison Park,9,85450
Norwood Park,10,72531
Jefferson Park,11,66792
Forest Glen,12,108520
North Park,13,71411
Albany Park,14,54254
Portage Park,15,59571
Irving Park,16,61553
Dunning,17,60627
Montclare,18,119758
Belmont Cragin,19,55474
Hermosa,20,62666
Avondale,21,60737
Logan Square,22,72278
Humboldt Park,23,46772
West Town,24,78218
Austin,25,48249
West Garfield Park,26,23534
East Garfield Park,27,59703
Near West Side,28,71115
North Lawndale,29,61000
South Lawndale,30,45932
Lower West Side,31,59936
Loop,32,107985
Near South Side,33,77718
Armour Square,34,45680
Douglas,35,49096
Oakland,36,63630
Fuller Park,37,60475
Grand Boulevard,38,35906
Kenwood,39,46826
Washington Park,40,48500
Hyde Park,41,53643
Woodlawn,42,41400
South Shore,43,33240
Chatham,44,40573
Avalon Park,45,63970
South Chicago,46,40368
Burnside,47,23684
Calumet Heights,48,46581
Roseland,49,44362
Pullman,50,36777
South Deering,51,44388
East Side,52,44079
West Pullman,53,37272
Riverdale,54,14415
Hegewisch,55,61772
Garfield Ridge,56,65725
Archer Heights,57,47138
Brighton Park,58,39887
McKinley Park,59,58154
Bridgeport,60,55840
New City,61,34921
West Elsdon,62,49829
Gage Park,63,41701
Clearing,64,60373
West Lawn,65,50884
Chicago Lawn,66,39275
67-West Englewood,67,32445
Englewood,68,41703
Greater Grand Crossing,69,40440
Ashburn,70,67063
Auburn Gresham,71,29285
Beverly,72,93037
Washington Heights,73,46848
Mount Greenwood,74,91209
Morgan Park,75,62190
O'Hare,76,58360
Edgewater,77,47466
