Rogers Park,1,9.1
West Ridge,2,9.2
Uptown,3,8
Lincoln Square,4,6
North Center,5,4
Lakeview,6,3.3
Lincoln Park,7,3.5
Near North Side,8,5.1
Edison Park,9,4.1
Norwood Park,10,6
Jefferson Park,11,7.4
Forest Glen,12,5.1
North Park,13,7.7
Albany Park,14,7.9
Portage Park,15,7.6
Irving Park,16,6
Dunning,17,5.6
Montclare,18,4.8
Belmont Cragin,19,11
Hermosa,20,7.9
Avondale,21,6.4
Logan Square,22,5.2
Humboldt Park,23,12
West Town,24,5.5
Austin,25,16.8
West Garfield Park,26,18.8
East Garfield Park,27,6.6
Near West Side,28,6.4
North Lawndale,29,8
South Lawndale,30,8.6
Lower West Side,31,7.4
Loop,32,5.3
Near South Side,33,3.9
Armour Square,34,10.2
Douglas,35,10.6
Oakland,36,8.7
Fuller Park,37,7.3
Grand Boulevard,38,8.2
Kenwood,39,12.9
Washington Park,40,16.9
Hyde Park,41,5.3
Woodlawn,42,13.3
South Shore,43,19
Chatham,44,15.8
Avalon Park,45,15.5
South Chicago,46,19.7
Burnside,47,18.4
Calumet Heights,48,14.4
Roseland,49,24
Pullman,50,20.3
South Deering,51,20
East Side,52,18.3
West Pullman,53,22.8
Riverdale,54,36.9
Hegewisch,55,6.3
Garfield Ridge,56,8.7
Archer Heights,57,9.9
Brighton Park,58,11.8
McKinley Park,59,7.4
Bridgeport,60,8.2
New City,61,16.6
West Elsdon,62,12.5
Gage Park,63,12.7
Clearing,64,10.1
West Lawn,65,13.4
Chicago Lawn,66,19.9
West Englewood,67,29.6
Englewood,68,22.5
Greater Grand Crossing,69,16.5
Ashburn,70,12.8
Auburn Gresham,71,23.6
Beverly,72,6.6
Washington Heights,73,18.6
Mount Greenwood,74,4.4
Morgan Park,75,10.4
O'Hare,76,7.8
Edgewater,77,6.9
